0xc2c193d2	__stack_chk_fail
0xd5977bfb	mutex_lock
0xaed86104	i2c_smbus_write_word_data
0xf9a482f9	msleep
0xeae3dfd6	__const_udelay
0xa3b92a99	i2c_smbus_read_word_data
0xed55cabd	mutex_unlock
0xe2d5255a	strcmp
0xaf50d612	i2c_transfer
0x4829a47e	memcpy
0xf5752941	yft_fuelgauge_device_add
0x50f5d94e	i2c_register_driver
0xfee5be94	i2c_del_driver
0xd50f026e	devm_kmalloc
0xa571f6b0	__mutex_init
0x13f8371b	__class_create
0x7f96615d	class_create_file_ns
0x9166fada	strncpy
0x8c280260	fuelgauge_fw_version
0x656e4a6e	snprintf
0x253af43d	delayed_work_timer_fn
0x79cf5987	init_timer_key
0x2d3385d3	system_wq
0xbf57e89e	queue_delayed_work_on
0x82093a2e	yft_set_fuelgauge_device_used
0xf58e113b	devm_power_supply_register
0x92997ed8	_printk
0x60e98d99	power_supply_get_by_name
0xd351924c	power_supply_get_property
0x748c8ec0	of_find_node_opts_by_path
0x9da9550a	of_get_property
0xcf81c81f	power_supply_get_drvdata
0x3c3ff9fd	sprintf
0x20000329	simple_strtoul
0xbcab6ee6	sscanf
0xea759d7f	module_layout
