name	stock_section	rebuild_section	stock_size	rebuild_size	stock_kcfi	rebuild_kcfi	stock_hash	rebuild_hash	stock_external_calls	rebuild_external_calls	stock_internal_calls	rebuild_internal_calls	stock_immediates	rebuild_immediates	stock_cfg	rebuild_cfg	byte_identity	residual_explanation
cleanup_module	.exit.text	.exit.text	88	36	0xa540670c	0xa540670c	defe25cf5b9d96bfde55d97366aeba6c4912f35664b054c9d4a6af5dacf2df73	022d1f8a88b2242b9938288dcd07f975c12b83337276f60e60d743f109a21c2c	_printk;i2c_del_driver	i2c_del_driver	-	-	0x0;0x10;0x20;0x8d5	0x0;0x10	cond=0;jmp=0;call=2;ret=1	cond=0;jmp=0;call=1;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
init_module	.init.text	.init.text	160	68	0x36b1c5a6	0x36b1c5a6	4d07ed73ace8358fd2dffcf306c58e35ba6ec87dae965a970d944ac125845d16	16596e4443db85109f9227e276fb2660242e36938f15c4b789989ff6540358e6	_printk;i2c_register_driver;yft_touchpanel_device_add	i2c_register_driver;yft_touchpanel_device_add	-	-	0x0;0x10;0x20;0x8c7	0x0;0x10;0x20	cond=0;jmp=0;call=3;ret=1	cond=0;jmp=0;call=2;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_reset_watchdog_proc	.text	.text	4	4	0xa540670c	0xa540670c	110f46b5b35c069160560c6ad6786f647dd44e8760a52a46fc22dbbcd7630b91	110f46b5b35c069160560c6ad6786f647dd44e8760a52a46fc22dbbcd7630b91	-	-	-	-	-	-	cond=0;jmp=0;call=0;ret=1	cond=0;jmp=0;call=0;ret=1	YES	NONE
hyn_reset_proc	.text	.text	372	372	0x00050794	0x00050794	391b38adfc959de4de452bee2d9b2d9525019dabdae3b482fd82b956e83de1bc	b5ef446d871908e30b184ae295bf5f2d4e8c6c1afeb8044e704744d4f3b237d8	__const_udelay;_printk;gpio_to_desc;gpiod_direction_output_raw	__const_udelay;gpio_to_desc;gpiod_direction_output_raw	-	-	0x0;0x1;0x8;0x10;0x20;0x41;0x8958	0x1;0x4;0x10;0x18;0x20;0x41;0x8958	cond=0;jmp=0;call=4;ret=1	cond=0;jmp=0;call=3;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_irq_disable	.text	.text	68	72	0xa540670c	0xa540670c	931a41d5d19fe6a186da1b7700642fe4b664148a3fc8c193d00c5d9c682b1b3e	843dfb3a1b76fbcd703573e660dad06c9700202e020ce91cf1bc8fdd171b7fac	disable_irq_nosync	disable_irq_nosync	-	-	0x1;0x10;0x20;0xa9;0xac	0x1;0x10;0x20;0x90;0xa9	cond=0;jmp=0;call=1;ret=1	cond=0;jmp=0;call=1;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_irq_enable	.text	.text	64	68	0xa540670c	0xa540670c	6d30c0f95296df641b7734be21c313ba6b700d567abe70522532182582f18e7f	ac467cc1912263b4f68a7d4e4d8763d4151c6d33813ec1355c3e607ec2b701d6	enable_irq	enable_irq	-	-	0x10;0x20;0xa9;0xac	0x10;0x20;0x90;0xa9	cond=0;jmp=0;call=1;ret=1	cond=0;jmp=0;call=1;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_update_firmware_init	.text	.text	236	48	0xcc836375	0xcc836375	2c49700443a25e0495ba41f53f5db1dedc413b573c25c8a2738b565bc7d7c444	56a3849e671b6afe7d539bfb7ed7a273cac80ff0281040082c58cf686a9ddc3f	_printk	-	hyn_firmware_info	hyn_firmware_info	0x0;0x1;0x6;0x10;0x1f;0x20;0x21;0x1a2;0x1a4;0x1a6;0x1a8;0x4f6	0x10;0x9e;0x320;0x1502	cond=0;jmp=0;call=2;ret=1	cond=0;jmp=0;call=1;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_input_dev_int	.text	.text	564	396	0xcaa902df	0xcaa902df	b68a46046e1a7f73b0b8241225e86f3f0dd20ce486f24b3d0d397f14df4d87ac	70e6e0a4e518190b47f9079d5d08937d6d92dafe063af042c2dadb4950ca7e6e	__flush_workqueue;_printk;alloc_workqueue;input_allocate_device;input_free_device;input_register_device;input_set_abs_params	__flush_workqueue;alloc_workqueue;input_allocate_device;input_free_device;input_register_device;input_set_abs_params	-	-	0x0;0x1;0x2;0xa;0xb;0xe;0x10;0x18;0x1c;0x1f;0x20;0x24;0x30;0x32;0x35;0x36;0x39;0x58;0x70;0x78;0x80;0x88;0x8b;0xa0;0xc8;0xff;0x1a8;0x2a0;0x2d8;0x400;0x553	0x0;0x1;0x2;0x8;0xb;0x10;0x18;0x1c;0x1f;0x20;0x28;0x30;0x32;0x35;0x36;0x38;0x39;0x50;0x58;0x94;0xb7;0xc8;0xff;0x2a0;0x400	cond=0;jmp=0;call=7;ret=1	cond=0;jmp=0;call=6;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
cst3xx_touch_report	.text	.text	1388	28	0xb86001b6	0xb86001b6	d34d46f14b899e2c0116e5d3d45622032ae0abf70f8e7ac75f884c1511002c76	05d64fcf55737a4ce4ab83a31ff0e3ffdfd0bdd2d76199d1afb38d30094969bc	__stack_chk_fail;_printk;input_event	-	cst3xx_i2c_read_register;cst3xx_i2c_write;hyn_gesture_readdata;hyn_reset_proc	-	0x0;0x1;0x2;0x3;0x7;0x8;0xa;0xf;0x10;0x11;0x12;0x13;0x14;0x15;0x16;0x18;0x1c;0x1f;0x20;0x24;0x28;0x30;0x32;0x35;0x36;0x39;0x40;0x48;0x4e;0x60;0x68;0x70;0x7f;0x80;0x88;0x89;0x8a;0x8c;0x90;0xa0;0xa5;0xab;0xb4;0xb5;0xca;0xd0;0xff;0x14a;0x638;0x5512;0xff00	0x10	cond=0;jmp=0;call=7;ret=1	cond=0;jmp=0;call=0;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
cst8xx_touch_report	.text	.text	820	316	0xb86001b6	0xb86001b6	73f1699a9cd463db35d878964e47d1a652c3b85101c299279bca094cfa3b139b	2a47f49b669803b84a296ffd7d9555e85994f79b15101294fbe334b73755e1bd	__stack_chk_fail;_printk;enable_irq;input_event;pm_wakeup_dev_event	__stack_chk_fail;input_event;pm_wakeup_dev_event	hyn_gesture_readdata;hyn_i2c_read	hyn_gesture_readdata;hyn_i2c_read;hyn_irq_enable	0x0;0x1;0x2;0x8;0x9;0xa;0xb;0xc;0xd;0xe;0xf;0x10;0x18;0x1c;0x1f;0x20;0x24;0x30;0x40;0x50;0x60;0x70;0x8b;0xa9;0xac;0xb7;0x147;0x14a;0x240;0x638;0x1388;0x5512	0x1;0x4;0x8;0x9;0xa;0xb;0xc;0xd;0xf;0x10;0x1f;0x20;0x28;0x30;0x40;0x80;0xc0;0x638;0x1388	cond=0;jmp=0;call=7;ret=1	cond=0;jmp=0;call=6;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
