object	section	stock_size	rebuild_size	stock_hash	rebuild_hash	classification	important	explanation
gpio_keys_probe.__key	.bss	1	1	67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6	67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6	BYTE_IDENTICAL	no	exact raw object bytes
gpio_keys_device_driver	.data	248	248	b3ab6982980fddf460a2f47adb428475ce9afa89092fd034499d017a35993f05	b3ab6982980fddf460a2f47adb428475ce9afa89092fd034499d017a35993f05	BYTE_IDENTICAL	yes	exact raw object bytes
gpio_keys_groups	.data	16	16	374708fff7719dd5979ec875d56cd2286f6d3cf7ec317a3b25632aab28ec37bb	374708fff7719dd5979ec875d56cd2286f6d3cf7ec317a3b25632aab28ec37bb	BYTE_IDENTICAL	yes	exact raw object bytes
gpio_keys_attrs	.data	40	40	2c34ce1df23b838c5abf2a7f6437cca3d3067ed509ff25f11df6b11b582b51eb	2c34ce1df23b838c5abf2a7f6437cca3d3067ed509ff25f11df6b11b582b51eb	BYTE_IDENTICAL	yes	exact raw object bytes
dev_attr_keys	.data	32	32	b068a2ecf65c3b16e67db6bcbab60627a3528c97b68eab5cbfc483fe0de128d5	b068a2ecf65c3b16e67db6bcbab60627a3528c97b68eab5cbfc483fe0de128d5	BYTE_IDENTICAL	yes	exact raw object bytes
dev_attr_switches	.data	32	32	b068a2ecf65c3b16e67db6bcbab60627a3528c97b68eab5cbfc483fe0de128d5	b068a2ecf65c3b16e67db6bcbab60627a3528c97b68eab5cbfc483fe0de128d5	BYTE_IDENTICAL	yes	exact raw object bytes
dev_attr_disabled_keys	.data	32	32	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	BYTE_IDENTICAL	yes	exact raw object bytes
dev_attr_disabled_switches	.data	32	32	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	BYTE_IDENTICAL	yes	exact raw object bytes
__UNIQUE_ID___addressable_cleanup_module375	.exit.data	8	8	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	BYTE_IDENTICAL	no	exact raw object bytes
__this_module	.gnu.linkonce.this_module	1088	1088	c3a0d52a2e6d829d10d887e5943f82ffe2fc2fc6ecaad9c4d8029598f36f902c	c3a0d52a2e6d829d10d887e5943f82ffe2fc2fc6ecaad9c4d8029598f36f902c	BYTE_IDENTICAL	yes	exact raw object bytes
__UNIQUE_ID___addressable_init_module374	.init.data	8	8	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	BYTE_IDENTICAL	no	exact raw object bytes
__UNIQUE_ID_license376	.modinfo	12	12	32269415cc45b60babb88674e0bb6093c44f8c5718586546ac35d7ca24fa2159	32269415cc45b60babb88674e0bb6093c44f8c5718586546ac35d7ca24fa2159	BYTE_IDENTICAL	no	exact raw object bytes
