function	section	offset	size	binding	kcfi_id_le	sha256
cleanup_module	.exit.text	0x4	36	GLOBAL	0c6740a5	022d1f8a88b2242b9938288dcd07f975c12b83337276f60e60d743f109a21c2c
init_module	.init.text	0x4	44	GLOBAL	a6c5b136	ff9303db890b8fae1b9f25d240117ffd0ea07d1648399b990fcb6cb6e881a69d
mt_camplight_mode_show	.text	0x4	112	LOCAL	5cc243df	b5eeeaabceea75205fd03f8fd5ef076e8f58c7f8700348a6175df7e6440656d9
mt_camplight_mode_store	.text	0x78	840	LOCAL	07baa895	57b430d513f296bca54a50e1c4539bdffd256570070f9b1cf164ffd149f75934
leds_ctl_show	.text	0x3c4	192	LOCAL	5cc243df	0c55a9f231fa8e71de5e09eb107e4e2d38067db6b473675a7688cfdca3b7426c
leds_ctl_store	.text	0x488	372	LOCAL	07baa895	2d219699f8e172e4296397b468dc347ea7ca259082c8d93e71036f3bf491ce8b
camplight_set_brightness_show	.text	0x600	116	LOCAL	5cc243df	4abb47e8e51f4de57880a5df1ed98c60bf541014698959832229e0e442333b73
camplight_set_brightness_store	.text	0x678	420	LOCAL	07baa895	e3e8eaabd6aa4d20bd26655f18fab58bc9dd4ff3661ced48359bce2968b8510b
ln2403_gpio_ctrl_apply	.text	0x81c	232	LOCAL	a6ffff17	96feaf76096b531b72f8691220466d41dd86f676710dafd8557ff32400615093
ln2403_pwm_work	.text	0x904	380	LOCAL	d2ffff17	ef362f0b2404f67a6d81e119a880082321dbce6920c082917e66018a80bbdb25
gpio_ctrl_timer_handler	.text	0xa84	328	LOCAL	a1bbc172	752c8ee987f1f8af11685a4f5ee6ccaf90a78f08ff213c64ca6ae288caebd254
set_leds	.text	0xbcc	124	LOCAL	c2ffff17	cd5e91c9e43497131478f1a31236e44eec3f39c4b92e422081e58e3e6efc5008
camplight_probe	.text	0xc4c	1216	LOCAL	9116df63	5ccbef4bbba42559c4c1821bc027dc56187c8828ce25bb6c8f69849ae5d4047d
camplight_remove	.text	0x1110	52	LOCAL	9116df63	301170ba90a77f5392a39181d911150fcb2bcac9488168e2460c77b79eb306fc
redblue_led_timer_func	.text	0x1148	596	LOCAL	a1bbc172	5ab440149c50e096debeb621218e2c374f61a0fd8c78e2a1cb9b6628ce6e53b0
ln2403_get_gpio	.text	0x139c	220	LOCAL	b9ffff17	4188439d5c34920e44273c22b02000f3337fec26d1e75b979ccaba76d2c94d70
