order	symbol	crc
1	i2c_register_driver	0x50f5d94e
2	i2c_del_driver	0xfee5be94
3	_dev_err	0xf27ed00b
4	devm_kmalloc	0xd50f026e
5	__devm_regmap_init_i2c	0x1bab1211
6	devm_regmap_field_alloc	0x1ef40de7
7	device_create_file	0xe25f59ab
8	of_property_read_variable_u32_array	0x94a3f9c7
9	of_get_named_gpio_flags	0xb9ab15e7
10	regmap_field_update_bits_base	0xc2bd74e5
11	msleep	0xf9a482f9
12	devm_kfree	0x8177f433
13	regmap_read	0xe4fcaad8
14	__stack_chk_fail	0xc2c193d2
15	_printk	0x92997ed8
16	gpio_request_one	0x403f9529
17	gpio_to_desc	0x0ec43f6f
18	gpiod_to_irq	0xe46623a3
19	devm_request_threaded_irq	0x0570ef04
20	irq_set_irq_wake	0xce2840e7
21	memset	0xdcb764ad
22	snprintf	0x656e4a6e
23	memcpy	0x4829a47e
24	fortify_panic	0xcbd4898c
25	sscanf	0xbcab6ee6
26	regmap_write	0x2971bc8d
27	_dev_info	0xef3cb484
28	disable_irq	0x3ce4ca6f
29	enable_irq	0xfcec0987
30	module_layout	0xea759d7f
