symbol	stock_crc	provider	provider_sha256	provider_locations	exact_gki_crc	reconstructed_provider_crc	rebuilt_consumer_crc	parity
i2c_register_driver	0x50f5d94e	vmlinux		GKI //common:kernel_aarch64	0x50f5d94e	0x50f5d94e	0x50f5d94e	MATCH
i2c_del_driver	0xfee5be94	vmlinux		GKI //common:kernel_aarch64	0xfee5be94	0xfee5be94	0xfee5be94	MATCH
_printk	0x92997ed8	vmlinux		GKI //common:kernel_aarch64	0x92997ed8	0x92997ed8	0x92997ed8	MATCH
devm_kmalloc	0xd50f026e	vmlinux		GKI //common:kernel_aarch64	0xd50f026e	0xd50f026e	0xd50f026e	MATCH
__devm_regmap_init_i2c	0x1bab1211	vmlinux		GKI //common:kernel_aarch64	0x1bab1211	0x1bab1211	0x1bab1211	MATCH
__mutex_init	0xa571f6b0	vmlinux		GKI //common:kernel_aarch64	0xa571f6b0	0xa571f6b0	0xa571f6b0	MATCH
of_get_named_gpio_flags	0xb9ab15e7	vmlinux		GKI //common:kernel_aarch64	0xb9ab15e7	0xb9ab15e7	0xb9ab15e7	MATCH
devm_gpio_request_one	0xc4a21586	vmlinux		GKI //common:kernel_aarch64	0xc4a21586	0xc4a21586	0xc4a21586	MATCH
v4l2_subdev_init	0x44e14219	vmlinux		GKI //common:kernel_aarch64	0x44e14219	0x44e14219	0x44e14219	MATCH
snprintf	0x656e4a6e	vmlinux		GKI //common:kernel_aarch64	0x656e4a6e	0x656e4a6e	0x656e4a6e	MATCH
strscpy	0xdd64e639	vmlinux		GKI //common:kernel_aarch64	0xdd64e639	0xdd64e639	0xdd64e639	MATCH
of_get_child_by_name	0xa3308a92	vmlinux		GKI //common:kernel_aarch64	0xa3308a92	0xa3308a92	0xa3308a92	MATCH
v4l2_ctrl_handler_init_class	0x699e1454	vmlinux		GKI //common:kernel_aarch64	0x699e1454	0x699e1454	0x699e1454	MATCH
v4l2_ctrl_new_std_menu	0x63b9ef43	vmlinux		GKI //common:kernel_aarch64	0x63b9ef43	0x63b9ef43	0x63b9ef43	MATCH
