order	symbol	crc	provider_class
1	i2c_register_driver	0x50f5d94e	GKI_OR_BUILTIN
2	i2c_del_driver	0xfee5be94	GKI_OR_BUILTIN
3	_dev_err	0xf27ed00b	GKI_OR_BUILTIN
4	devm_kmalloc	0xd50f026e	GKI_OR_BUILTIN
5	__devm_regmap_init_i2c	0x1bab1211	GKI_OR_BUILTIN
6	devm_regmap_field_alloc	0x1ef40de7	GKI_OR_BUILTIN
7	device_create_file	0xe25f59ab	GKI_OR_BUILTIN
8	of_property_read_variable_u32_array	0x94a3f9c7	GKI_OR_BUILTIN
9	of_get_named_gpio_flags	0xb9ab15e7	GKI_OR_BUILTIN
10	regmap_field_update_bits_base	0xc2bd74e5	GKI_OR_BUILTIN
11	msleep	0xf9a482f9	GKI_OR_BUILTIN
12	devm_kfree	0x8177f433	GKI_OR_BUILTIN
13	regmap_read	0xe4fcaad8	GKI_OR_BUILTIN
14	__stack_chk_fail	0xc2c193d2	GKI_OR_BUILTIN
15	_printk	0x92997ed8	GKI_OR_BUILTIN
16	gpio_request_one	0x403f9529	GKI_OR_BUILTIN
17	gpio_to_desc	0x0ec43f6f	GKI_OR_BUILTIN
18	gpiod_to_irq	0xe46623a3	GKI_OR_BUILTIN
19	devm_request_threaded_irq	0x0570ef04	GKI_OR_BUILTIN
20	irq_set_irq_wake	0xce2840e7	GKI_OR_BUILTIN
21	memset	0xdcb764ad	GKI_OR_BUILTIN
22	snprintf	0x656e4a6e	GKI_OR_BUILTIN
23	memcpy	0x4829a47e	GKI_OR_BUILTIN
24	fortify_panic	0xcbd4898c	GKI_OR_BUILTIN
25	sscanf	0xbcab6ee6	GKI_OR_BUILTIN
26	regmap_write	0x2971bc8d	GKI_OR_BUILTIN
27	_dev_info	0xef3cb484	GKI_OR_BUILTIN
28	disable_irq	0x3ce4ca6f	GKI_OR_BUILTIN
29	enable_irq	0xfcec0987	GKI_OR_BUILTIN
30	module_layout	0xea759d7f	GKI_OR_BUILTIN
